trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,gender_slider.response,is_trial,image.dir,image.num,rating_score.response,rating_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1.0,y,./images/female/16.jpg,16.jpg,3.0,1.2217117000000144,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
1,0,1,0,,n,./images/female/13.jpg,13.jpg,3.0,1.601922900000318,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
2,0,2,0,,n,./images/female/14.jpg,14.jpg,2.0,2.2023269000001164,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
3,0,3,0,,n,./images/female/15.jpg,15.jpg,2.0,1.7805830999996033,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
4,0,4,0,,n,./images/female/23.jpg,23.jpg,3.0,0.9284096999999747,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
5,0,5,0,,n,./images/female/24.jpg,24.jpg,2.0,2.065025999999307,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
6,0,6,0,,n,./images/female/10.jpg,10.jpg,2.0,2.2622801000006802,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
7,0,7,0,,n,./images/female/19.jpg,19.jpg,3.0,3.762297100000069,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
8,0,8,0,,n,./images/female/11.jpg,11.jpg,2.0,0.9317191000000093,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
9,0,9,0,,n,./images/female/4.jpg,4.jpg,4.0,1.4094484999995984,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
10,0,10,0,,n,./images/female/28.jpg,28.jpg,4.0,1.9405434000000241,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
11,0,11,0,,n,./images/female/29.jpg,29.jpg,2.0,0.9474820000004911,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
12,0,12,0,,n,./images/female/6.jpg,6.jpg,4.0,0.9049408999999287,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
13,0,13,0,,n,./images/female/17.jpg,17.jpg,2.0,1.9160597000000053,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
14,0,14,0,,n,./images/female/5.jpg,5.jpg,1.0,1.800898700000289,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
15,0,15,0,,n,./images/female/8.jpg,8.jpg,1.0,0.9306990000004589,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
16,0,16,0,,n,./images/female/7.jpg,7.jpg,1.0,1.0476669999998194,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
17,0,17,0,,n,./images/female/21.jpg,21.jpg,2.0,0.9285284999996293,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
18,0,18,0,,n,./images/female/25.jpg,25.jpg,2.0,0.5173978000002535,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
19,0,19,0,,n,./images/female/27.jpg,27.jpg,4.0,0.9617907000001651,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
20,0,20,0,,n,./images/female/20.jpg,20.jpg,4.0,0.850684199999705,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
21,0,21,0,,n,./images/female/30.jpg,30.jpg,3.0,0.931661499999791,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
22,0,22,0,,n,./images/female/26.jpg,26.jpg,4.0,0.9672175999994579,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
23,0,23,0,,n,./images/female/18.jpg,18.jpg,3.0,0.9174401000000216,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
24,0,24,0,,n,./images/female/9.jpg,9.jpg,3.0,0.7632877999994889,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
25,0,25,0,,n,./images/female/1.jpg,1.jpg,3.0,0.6426372000005358,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
26,0,26,0,,n,./images/female/3.jpg,3.jpg,2.0,1.197317899999689,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
27,0,27,0,,n,./images/female/22.jpg,22.jpg,3.0,0.6988759000005302,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
28,0,28,0,,n,./images/female/12.jpg,12.jpg,2.0,1.1449605999996493,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
29,0,29,0,,n,./images/female/2.jpg,2.jpg,1.0,0.7627205999997386,120546,001,2022_Aug_03_1309,pupil_reaction_to_faces,2021.2.3,59.935006479037376,
