trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,gender_slider.response,is_trial,image.dir,image.num,rating_score.response,rating_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1.0,y,./images/female/17.jpg,17.jpg,2.0,12.59787150000011,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
1,0,1,0,,n,./images/female/16.jpg,16.jpg,2.0,1.255828700001075,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
2,0,2,0,,n,./images/female/25.jpg,25.jpg,2.0,1.3303789000001416,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
3,0,3,0,,n,./images/female/28.jpg,28.jpg,4.0,9.217174600000362,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
4,0,4,0,,n,./images/female/5.jpg,5.jpg,1.0,3.2156820000000153,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
5,0,5,0,,n,./images/female/21.jpg,21.jpg,2.0,1.417255500000465,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
6,0,6,0,,n,./images/female/4.jpg,4.jpg,2.0,1.502717900000789,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
7,0,7,0,,n,./images/female/20.jpg,20.jpg,3.0,1.7419115000011516,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
8,0,8,0,,n,./images/female/24.jpg,24.jpg,3.0,1.31257050000022,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
9,0,9,0,,n,./images/female/23.jpg,23.jpg,3.0,2.5828369000009843,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
10,0,10,0,,n,./images/female/7.jpg,7.jpg,1.0,1.4666925000001356,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
11,0,11,0,,n,./images/female/18.jpg,18.jpg,2.0,1.6756568000000698,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
12,0,12,0,,n,./images/female/26.jpg,26.jpg,2.0,1.7796405000008235,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
13,0,13,0,,n,./images/female/15.jpg,15.jpg,2.0,1.5131015999995725,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
14,0,14,0,,n,./images/female/9.jpg,9.jpg,3.0,1.6292510999992373,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
15,0,15,0,,n,./images/female/3.jpg,3.jpg,2.0,1.2184051999993244,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
16,0,16,0,,n,./images/female/22.jpg,22.jpg,3.0,1.9167982999988453,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
17,0,17,0,,n,./images/female/27.jpg,27.jpg,3.0,1.2096117000000959,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
18,0,18,0,,n,./images/female/29.jpg,29.jpg,2.0,1.2990383000014845,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
19,0,19,0,,n,./images/female/6.jpg,6.jpg,3.0,1.9734112000005553,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
20,0,20,0,,n,./images/female/10.jpg,10.jpg,1.0,1.0302222999998776,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
21,0,21,0,,n,./images/female/19.jpg,19.jpg,1.0,0.8631322000001092,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
22,0,22,0,,n,./images/female/11.jpg,11.jpg,2.0,1.160342799999853,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
23,0,23,0,,n,./images/female/13.jpg,13.jpg,4.0,1.2368944999998348,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
24,0,24,0,,n,./images/female/1.jpg,1.jpg,2.0,0.8831934999998339,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
25,0,25,0,,n,./images/female/2.jpg,2.jpg,1.0,1.2398981000005733,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
26,0,26,0,,n,./images/female/30.jpg,30.jpg,2.0,0.8119683999993867,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
27,0,27,0,,n,./images/female/14.jpg,14.jpg,2.0,1.0308743999994476,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
28,0,28,0,,n,./images/female/8.jpg,8.jpg,1.0,1.532264600000417,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
29,0,29,0,,n,./images/female/12.jpg,12.jpg,4.0,0.9416980999994848,119506,001,2022_Aug_04_1506,pupil_reaction_to_faces,2021.2.3,59.94801308281508,
